title,company,location,work_mode,job_type,skills,salary_avg,date_posted,experience_level,education,source,job_url,salary_min,salary_max
Data Scientist Summer Intern__Deep Learning,GE Aerospace,"Shanghai, , China",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-summer-intern-ge-aerospace-china-2/,,
Deep Learning Engineering Intern,KLA,"Milpitas, California, United States",onsite,fulltime,"['Keras', 'PyTorch', 'Python', 'TensorFlow']",46.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/deep-learning-engineering-intern-kla-united-states-3/,35.0,57.0
Junior Data Scientist,Rest,"Sydney, New South Wales, Australia",onsite,fulltime,"['AWS', 'AWS RedShift', 'EC2', 'Git', 'Power BI']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/junior-data-scientist-rest-australia-2/,,
Senior Data Scientist,Ontrac Solutions,"Cairo, , Egypt",onsite,fulltime,"['Azure ML', 'PyTorch', 'Python', 'Scikit-Learn', 'TensorFlow']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-ontrac-solutions-egypt-2/,,
Senior Data Scientist,Search Atlas,"Remote, São Paulo, São Paulo, Brazil",remote,fulltime,"['NumPy', 'PyTorch', 'Python', 'SQL', 'SciPy']",5750.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-search-atlas-brazil-2/,5000.0,6500.0
"Senior Open-Source Machine Learning Engineer, Computer Vision - US Remote",Hugging Face,"New York, New York, United States",onsite,fulltime,"['OpenCV', 'PyTorch', 'Python', 'TensorFlow', 'Transformers']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-open-source-ml-engineer-hugging-face-united-states-9/,,
"Data Scientist - Computer Vision, Data & Machine Learning (DML)",Amazon,"Arlington, Virginia, United States",onsite,fulltime,"['AWS', 'EC2', 'EMR', 'Git', 'Kinesis']",160000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-computer-vision-amazon-united-states-776/,136000.0,184000.0
"Senior Staff Engineer, Machine learning",Nagarro,"Remote, , , India",remote,fulltime,"['Docker', 'JAX', 'Kubeflow', 'Kubernetes', 'MLflow']",,2026-03-09 00:00:00+00:00,senior,Masters in Machine Learning,datasciencejobs,https://datasciencejobs.com/jobs/senior-staff-engineer-nagarro-india-29/,,
Machine Learning Engineer H/F,NEXTON,"Lille, Hauts-de-France, France",onsite,fulltime,"['Docker', 'Kubernetes', 'Python', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-nexton-france-7/,,
Senior Data Scientist,ASOS.com,"London, England, United Kingdom",onsite,fulltime,"['Apache Spark', 'DBT', 'Databricks', 'NumPy', 'Power BI']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-asoscom-united-kingdom-7/,,
Senior Machine Learning Engineer,Red Hat,"Toronto, Ontario, Canada",onsite,fulltime,"['NumPy', 'PyTorch', 'Python']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-red-hat-canada-36/,,
Machine Learning Engineer - Personalization AI team,Target,"Brooklyn Park, Minnesota, United States",onsite,fulltime,"['Java', 'Linux', 'PyTorch', 'Python', 'Scikit-Learn']",105550.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-target-united-states-18/,75400.0,135700.0
"Data Scientist - Computer Vision, Data & Machine Learning (DML)",Amazon,"Arlington, Virginia, United States",onsite,fulltime,"['AWS', 'Apache Airflow', 'EC2', 'EMR', 'Git']",160000.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-computer-vision-amazon-united-states-775/,136000.0,184000.0
Staff Data Scientist NLP,GE HealthCare,"Bengaluru, Karnataka, India",onsite,fulltime,"['AWS', 'Azure', 'PyTorch', 'Python', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-data-scientist-ge-healthcare-india-2/,,
Machine Learning Engineer (NLP) - Intern,Intapp,"Berlin, , Germany",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-nlp-intapp-germany-2/,,
Data Scientist/NLP (m/f/d),RELX,"Bonn, , Germany",onsite,fulltime,"['Neo4J', 'PyTorch', 'Python', 'TensorFlow']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientistnlp-relx-germany-5/,,
"Data Engineer Intern, (Early Career)",Kensho Technologies,"Princeton, New Jersey, United States",onsite,fulltime,"['Ansible', 'Bash', 'JavaScript', 'PowerShell', 'Puppet']",27.5,2026-03-09 00:00:00+00:00,entry-level,Bachelors in <field>,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-intern-kensho-technologies-united-states-2/,25.0,30.0
Data Center Engineer,Advocate Health,"Milwaukee, Wisconsin, United States",onsite,fulltime,['Excel'],40.0,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-center-engineer-advocate-health-united-states-2/,32.0,48.0
Data Engineer I - Data Engineering,Cencora | Pharma solutions,"Pune, , India",onsite,fulltime,"['Power BI', 'Python', 'R', 'SAS', 'SQL']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-i-cencora-pharma-solutions-india-2/,,
Financial Data Scientist II/ III,Williams,"Tulsa, Oklahoma, United States",onsite,fulltime,['Power BI'],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Finance,datasciencejobs,https://datasciencejobs.com/jobs/financial-data-scientist-ii-iii-williams-united-states-2/,,
Senior Data Scientist,F5,"Remote, , United States",remote,fulltime,"['Git', 'MLflow', 'PyTorch', 'Python', 'SQL']",198000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-f5-united-states-2/,158400.0,237600.0
"Intern, Data Science and Measurement",dentsu,"Singapore, , Singapore",onsite,fulltime,"['Power BI', 'PyTorch', 'Python', 'R', 'SQL']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/media-performance-measurement-intern-dentsu-singapore-2/,,
Azure Machine Learning Platform Engineer,Nordcloud,", , Poland",onsite,fulltime,"['AKS', 'Airflow', 'Azure AI Foundry', 'Azure Data Factory', 'Azure DevOps']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-platform-engineer-nordcloud-an-ibm-company-poland-2/,,
Ingénieur Machine Learning Ops H/F,Meilleurtaux,"Paris, Île-de-France, France",onsite,fulltime,"['Azure', 'BigQuery', 'Docker', 'GCP', 'Python']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/mlops-engineer-meilleurtaux-france-2/,,
Machine Learning Engineer,CD PROJEKT RED,"Vancouver, British Columbia, Canada",onsite,fulltime,"['AWS', 'Azure', 'C++', 'GCP', 'JAX']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-cd-projekt-red-canada-2/,84200.0,
Senior Data Scientist,PNC,"Denver, Colorado, United States",onsite,fulltime,['Python'],143807.5,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-pnc-united-states-2/,122245.0,165370.0
WO Data Science Afstudeerstage,NN Group,"The Hague, , Netherlands",onsite,fulltime,"['Python', 'R']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-afstudeerstage-nn-group-netherlands-2/,,
Data Scientist,Gartner,"Gurgaon, , India",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-gartner-india-7/,,
Senior Data Scientist,TransUnion,"Chicago, Illinois, United States",onsite,fulltime,"['C/C++', 'Hive', 'Java', 'Linux', 'Pig']",105000.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-transunion-united-states-2/,78750.0,131250.0
Senior Director - Machine Learning and AI,Auror,"Auckland, Auckland, New Zealand",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-director-machine-learning-auror-new-zealand-2/,,
"Machine Learning Engineer, Detection",Doppel,"New York, New York, United States",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-doppel-united-states-2/,,
Staff Research Scientist-Generative AI and Foundational Models,Visa,"Foster City, California, United States",onsite,fulltime,"['PyTorch', 'Python', 'TensorFlow']",219950.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-research-scientist-visa-united-states-58/,169100.0,270800.0
LLM Engineer,Workday,"Tel Aviv, , Israel",onsite,fulltime,['Python'],,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/llm-engineer-workday-israel-25/,,
GenAI and LLM Lead,Netcompany,"Thessaloniki, , Greece",onsite,fulltime,"['AWS', 'Azure', 'LlamaIndex', 'Python', 'RAG']",,2026-03-09 00:00:00+00:00,lead,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/genai-and-llm-lead-netcompany-greece-7/,,
AWS Data Engineer,InfoCentric,"Melbourne, Victoria, Australia",onsite,fulltime,"['AWS', 'Airflow', 'Athena', 'EMR', 'Glue']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/aws-data-engineer-infocentric-australia-2/,,
Data Engineer,Bitwave,", , United States",onsite,fulltime,"['REST APIs', 'Databricks', 'GCP', 'Google BigQuery', 'JavaScript']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/data-engineer-bitwave-united-states-2/,,
Data Scientist,OnBuy,", , United Kingdom",onsite,fulltime,"['BigQuery', 'Git', 'NumPy', 'Python', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-onbuy-united-kingdom-2/,,
"Senior Data Scientist, Innovation Lab - Remote",Experian,"Remote, , United States",remote,fulltime,"['Cassandra', 'Hadoop', 'Hbase', 'Hive', 'Keras']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-experian-united-states-28/,,
Machine Learning Engineer (SDE 2),Kredivo Group,"Bangalore, , India",onsite,fulltime,"['AWS', 'Docker', 'FastAPI', 'Flask', 'GCP']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/machine-learning-engineer-kredivo-group-india-2/,,
Senior Machine Learning Engineer,Zefr,"Marina del Rey, California, United States",onsite,fulltime,"['Python', 'Qdrant', 'SQL', 'Snowflake']",175000.0,2026-03-09 00:00:00+00:00,senior,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-zefr-united-states-7/,150000.0,200000.0
Staff Engineer - Machine Learning & Pricing,Almedia,"Berlin, Berlin, Germany",onsite,fulltime,"['AWS', 'GCP', 'Python', 'SQL']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/staff-engineer-machine-learning-almedia-germany-16/,,
AI / Computer Vision Intern,Jabil,"Lexington, Kentucky, United States",onsite,fulltime,"['C++', 'Python']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/aicomputer-vision-intern-jabil-united-states-2/,,
"AI Computer Vision, Apprentice",L-Acoustics,"Massy, , France",onsite,fulltime,"['AWS', 'Azure', 'C++', 'Docker', 'GCP']",,2026-03-09 00:00:00+00:00,entry-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/ai-computer-vision-apprentice-l-acoustics-france-2/,,
Senior Machine Learning Research Engineer - Perception & Foundation Models,Zendar,"Berkeley, California, United States",onsite,fulltime,"['PyTorch', 'Python', 'TensorFlow']",165000.0,2026-03-09 00:00:00+00:00,senior,Masters in Machine Learning,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-research-engineer-zendar-united-states-2/,140000.0,190000.0
"Research Scientist, AI/ML Foundational Models",Takeda,"Boston, Massachusetts, United States",onsite,fulltime,"['AWS', 'GCP', 'PyTorch', 'Python', 'Scikit-Learn']",143735.0,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/scientist-aiml-takeda-united-states-2/,111800.0,175670.0
LLM Ops Engineer,Quantios,"Serdang, Selangor, Malaysia",onsite,fulltime,"['Azure App Services', 'Azure AI Foundry', 'Azure DevOps', 'Azure Monitor', 'Azure OpenAI']",,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/llm-ops-engineer-quantios-malaysia-2/,,
AI Specialist for LLM and GenAI,PwC,"Prague, , Czechia",onsite,fulltime,"['Azure', 'Docker', 'Git', 'Python']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/ai-specialist-pwc-czechia-2/,,
Data Science Manager for FP&A,Leidos,"Reston, Virginia, United States",onsite,fulltime,"['AWS SageMaker', 'Azure ML', 'Power BI', 'PyTorch', 'Python']",151475.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-manager-leidos-united-states-10/,107900.0,195050.0
Data Scientist- Insurance,TransUnion,"Chicago, Illinois, United States",onsite,fulltime,"['C/C++', 'Hive', 'Java', 'Python', 'R']",90000.0,2026-03-09 00:00:00+00:00,mid-level,Bachelors in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-scientist-insurance-transunion-united-states-2/,67500.0,112500.0
Sr. Data Scientist,Gartner,"Irving, Texas, United States",onsite,fulltime,"['AWS', 'Azure', 'Linux', 'LlamaIndex', 'MongoDB']",130000.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/sr-data-scientist-gartner-united-states-6/,113000.0,147000.0
Senior Machine Learning Engineer (Outfits),ASOS.com,"London, England, United Kingdom",onsite,fulltime,"['ML Ops', 'Deep Learning', 'Python', 'distributed computing']",,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-asoscom-united-kingdom-6/,,
Senior Machine Learning Engineer,Atlassian,", , United States",onsite,fulltime,[],216337.5,2026-03-09 00:00:00+00:00,senior,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-machine-learning-engineer-atlassian-united-states-76/,168300.0,264375.0
Senior Data Scientist,OCLC,"Dublin, Ohio, United States",onsite,fulltime,"['AWS', 'Azure', 'Docker', 'Git', 'Java']",,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-oclc-united-states-2/,,
Data Science Specialist,GE Aerospace,"Bengaluru, , India",onsite,fulltime,"['AWS', 'Azure', 'GCP', 'Hadoop', 'PyTorch']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/data-science-specialist-ge-aerospace-india-2/,,
"Principal Associate, Data Scientist - NLP",Capital One,"McLean, Virginia, United States",onsite,fulltime,"['AWS', 'PyTorch', 'Python']",181600.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/principal-associate-data-scientist-capital-one-united-states-21/,161800.0,201400.0
NLP/ML Engineer,RBC,"Mississauga, Ontario, Canada",onsite,fulltime,"['Hugging Face Transformers', 'NLTK', 'Python', 'SQL', 'spaCy']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/nlpml-engineer-rbc-canada-2/,,
"Senior Data Scientist - AI Foundations, Specialist Models",Capital One,"New York, New York, United States",onsite,fulltime,"['AWS', 'Python']",152250.0,2026-03-09 00:00:00+00:00,senior,Masters in Data Science,datasciencejobs,https://datasciencejobs.com/jobs/senior-data-scientist-capital-one-united-states-20/,135600.0,168900.0
Deep Learning Engineer,L-Acoustics,"London, , United Kingdom",onsite,fulltime,"['AWS', 'Azure', 'C++', 'Google Cloud', 'PyTorch']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/deep-learning-engineer-l-acoustics-united-kingdom-2/,,
Deep Learning Expert,Applied Materials,"Rehovot, , Israel",onsite,fulltime,"['Linux', 'PyTorch', 'Python']",,2026-03-09 00:00:00+00:00,mid-level,Masters in Computer Science,datasciencejobs,https://datasciencejobs.com/jobs/deep-learning-expert-applied-materials-israel-2/,,
